passportArea/name,passportArea/id,passportArea/alpha3code,passportArea/alpha2code,weight,firstName,middleName,lastName,currentTeamId,birthDate,height,role/code2,role/code3,role/name,birthArea/name,birthArea/id,birthArea/alpha3code,birthArea/alpha2code,wyId,foot,shortName,currentNationalTeamId
Turkey,792,TUR,TR,78,Harun,,Tekin,4502,17/06/1989,187,GK,GKP,Goalkeeper,Turkey,792,TUR,TR,32777,right,H. Tekin,4687
Senegal,686,SEN,SN,73,Malang,,Sarr,3775,23/01/1999,182,DF,DEF,Defender,France,250,FRA,FR,393228,left,M. Sarr,4423
France,250,FRA,FR,72,Over,,Mandanda,3772,26/10/1998,176,GK,GKP,Goalkeeper,France,250,FRA,FR,393230,,O. Mandanda,null
Senegal,686,SEN,SN,82,Alfred John Momar,,N'Diaye,683,06/03/1990,187,MD,MID,Midfielder,France,250,FRA,FR,32793,right,A. N'Diaye,19314
France,250,FRA,FR,84,Ibrahima,,Konat\u00e9,2975,25/05/1999,192,DF,DEF,Defender,France,250,FRA,FR,393247,right,I. Konat\u00e9,null
Netherlands,528,NLD,NL,83,Jasper,,Cillessen,676,22/04/1989,185,GK,GKP,Goalkeeper,Netherlands,528,NLD,NL,33,right,J. Cillessen,664
Belgium,56,BEL,BE,91,Toby,,Alderweireld,1624,02/03/1989,187,DF,DEF,Defender,Belgium,56,BEL,BE,36,right,T. Alderweireld,5629
Belgium,56,BEL,BE,88,Jan,,Vertonghen,1624,24/04/1987,189,DF,DEF,Defender,Belgium,56,BEL,BE,48,left,J. Vertonghen,5629
France,250,FRA,FR,74,Alexander,,Djiku,3783,09/08/1994,182,DF,DEF,Defender,France,250,FRA,FR,229427,right,A. Djiku,null
Denmark,208,DNK,DK,76,Christian ,,Dannemann Eriksen,1624,14/02/1992,180,MD,MID,Midfielder,Denmark,208,DNK,DK,54,right,C. Eriksen,7712
Austria,40,AUT,AT,74,Marcel,,Sabitzer,2975,17/03/1994,177,MD,MID,Midfielder,Austria,40,AUT,AT,65596,right,M. Sabitzer,null
Iceland,352,ISL,IS,84,Kolbeinn,,Sig\u00fe\u00f3rsson,3770,14/03/1990,186,FW,FWD,Forward,Iceland,352,ISL,IS,66,right,K. Sig\u00fe\u00f3rsson,null
France,250,FRA,FR,74,Charles,,Traor\u00e9,3795,01/01/1992,180,DF,DEF,Defender,Mali,466,MLI,ML,393284,left,C. Traor\u00e9,null
Finland,246,FIN,FI,75,Niklas,,Moisander,2443,29/09/1985,183,DF,DEF,Defender,Finland,246,FIN,FI,77,left,N. Moisander,4849
Cura\u00e7ao,531,CUW,CW,91,Charlison,,Benschop,2455,21/08/1989,191,FW,FWD,Forward,Cura\u00e7ao,531,CUW,CW,91,right,C. Benschop,18138
Iceland,352,ISL,IS,77,Johann ,,Berg Gu\u00f0munds\u00adson,1646,27/10/1990,186,MD,MID,Midfielder,Iceland,352,ISL,IS,93,left,J. Gu\u00f0munds\u00adson,7839
Poland,616,POL,PL,83,Przemys\u0142aw,,Tyto\u0144,677,04/01/1987,194,GK,GKP,Goalkeeper,Poland,616,POL,PL,99,right,P. Tyto\u0144,null
Brazil,76,BRA,BR,85,Marcelo Ant\u00f4nio,,Guedes Filho,3766,20/05/1987,191,DF,DEF,Defender,Brazil,76,BRA,BR,102,right,Marcelo,null
Cura\u00e7ao,531,CUW,CW,65,Jetro,,Willems,2462,30/03/1994,169,DF,DEF,Defender,Netherlands,528,NLD,NL,110,left,J. Willems,null
Iraq,368,IRQ,IQ,78,Ali Adnan Kadhim,,Al Tameemi,3163,19/12/1993,186,DF,DEF,Defender,Iraq,368,IRQ,IQ,131184,left,Ali Adnan,17759
Netherlands,528,NLD,NL,78,Kevin,,Strootman,3158,13/02/1990,186,MD,MID,Midfielder,Netherlands,528,NLD,NL,114,left,K. Strootman,null
Ghana,288,GHA,GH,78,Memphis,,Depay,3766,13/02/1994,176,FW,FWD,Forward,Netherlands,528,NLD,NL,118,right,M. Depay,664
Belgium,56,BEL,BE,61,Dries,,Mertens,3187,06/05/1987,169,FW,FWD,Forward,Belgium,56,BEL,BE,122,right,D. Mertens,5629
Sweden,752,SWE,SE,78,Ola,,Toivonen,3780,03/07/1986,192,FW,FWD,Forward,Sweden,752,SWE,SE,123,right,O. Toivonen,7047
Netherlands,528,NLD,NL,78,Stefan,,de Vrij,3162,05/02/1992,189,DF,DEF,Defender,Netherlands,528,NLD,NL,130,right,S. de Vrij,null
Morocco,504,MAR,MA,78,Karim,,El Ahmadi Al Aroos,16469,27/01/1985,179,MD,MID,Midfielder,Netherlands,528,NLD,NL,142,right,K. El Ahmadi,16216
Sweden,752,SWE,SE,79,John,,Guidetti,696,15/04/1992,185,FW,FWD,Forward,Sweden,752,SWE,SE,151,right,J. Guidetti,7047
Turkey,792,TUR,TR,86,Volkan,,Babacan,4535,11/08/1988,192,GK,GKP,Goalkeeper,Turkey,792,TUR,TR,32923,right,V. Babacan,4687
Netherlands,528,NLD,NL,78,Jeffrey,,Gouweleeuw,2481,10/07/1991,188,DF,DEF,Defender,Netherlands,528,NLD,NL,159,right,J. Gouweleeuw,null
Serbia,688,SRB,RS,72,Filip,,\u0110uri\u010di\u0107,3219,30/01/1992,181,MD,MID,Midfielder,Serbia,688,SRB,RS,174,right,F. \u0110uri\u010di\u0107,null
Slovakia,703,SVK,SK,70,Peter,,Pekar\u00edk,2457,30/10/1986,176,DF,DEF,Defender,Slovakia,703,SVK,SK,32959,right,P. Pekar\u00edk,14496
Serbia,688,SRB,RS,93,Jago\u0161,,Vukovi\u0107,3194,10/06/1988,195,DF,DEF,Defender,Serbia,688,SRB,RS,192,left,J. Vukovi\u0107,null
Morocco,504,MAR,MA,77,Nordin,,Amrabat,16470,31/03/1987,178,FW,FWD,Forward,Netherlands,528,NLD,NL,32968,right,N. Amrabat,16216
C\u00f4te d'Ivoire,384,CIV,CI,72,Christian,,Kouakou Yao,3783,01/03/1991,182,FW,FWD,Forward,C\u00f4te d'Ivoire,384,CIV,CI,131321,right,C. Kouakou,null
Venezuela,862,VEN,VE,71,Roberto Jos\u00e9,,Rosales Altuve,683,20/11/1988,175,DF,DEF,Defender,Venezuela,862,VEN,VE,254,right,R. Rosales,null
Morocco,504,MAR,MA,80,Nacer,,Chadli,1627,02/08/1989,187,MD,MID,Midfielder,Belgium,56,BEL,BE,261,right,N. Chadli,5629
Netherlands,528,NLD,NL,76,Robin,,Gosens,3172,05/06/1994,183,DF,DEF,Defender,Germany,276,DEU,DE,295176,left,R. Gosens,null
Morocco,504,MAR,MA,78,Yacine,,Bammou,3770,11/09/1991,188,FW,FWD,Forward,France,250,FRA,FR,229697,right,Y. Bammou,null
France,250,FRA,FR,86,Florian,,Le Joncour,3783,03/02/1995,193,DF,DEF,Defender,France,250,FRA,FR,328021,left,F. Le Joncour,null
Brazil,76,BRA,BR,78,Andr\u00e9,,Ramalho Silva,8743,16/02/1992,182,DF,DEF,Defender,Brazil,76,BRA,BR,65880,right,Andr\u00e9 Ramalho,null
Italy,380,ITA,IT,69,Davide,,Borsellini,3163,04/01/1999,180,GK,GKP,Goalkeeper,Italy,380,ITA,IT,393566,left,D. Borsellini,null
Nigeria,566,NGA,NG,81,Leon-Aderemi,,Balogun,1651,28/06/1988,190,DF,DEF,Defender,Germany,276,DEU,DE,16443,right,L. Balogun,16823
Ghana,288,GHA,GH,70,Godfred,,Donsah,3166,07/06/1996,175,MD,MID,Midfielder,Ghana,288,GHA,GH,295273,right,G. Donsah,17527
Korea Republic,410,KOR,KR,82,Hyun-Jun,,Suk,3795,29/06/1991,190,FW,FWD,Forward,Korea Republic,410,KOR,KR,382,right,Suk Hyun-Jun,null
Serbia,688,SRB,RS,76,Du\u0161an,,Tadi\u0107,9,20/11/1988,181,MD,MID,Midfielder,Serbia,688,SRB,RS,383,left,D. Tadi\u0107,17322
Netherlands,528,NLD,NL,80,Bram,,Nuytinck,3163,04/05/1990,190,DF,DEF,Defender,Netherlands,528,NLD,NL,394,left,B. Nuytinck,null
Denmark,208,DNK,DK,78,Lasse,,Sch\u00f6ne,9,27/05/1986,177,MD,MID,Midfielder,Denmark,208,DNK,DK,405,right,L. Sch\u00f6ne,7712
Gambia,270,GMB,GM,56,Ablie,,Jallow,3777,14/11/1998,166,MD,MID,Midfielder,Gambia,270,GMB,GM,376908,left,A. Jallow,null
Romania,642,ROU,RO,75,Bogdan Sorin,,Stancu,4502,28/06/1987,183,FW,FWD,Forward,Romania,642,ROU,RO,33235,right,B. Stancu,null
Switzerland,756,CHE,CH,90,Gregor,,Kobel,2482,06/12/1997,194,GK,GKP,Goalkeeper,Switzerland,756,CHE,CH,328190,right,G. Kobel,null
Congo DR,180,COD,CD,80,Denis Lemi,,Zakaria Lako Lado,2454,20/11/1996,191,MD,MID,Midfielder,Switzerland,756,CHE,CH,360992,right,D. Zakaria,6697
Netherlands,528,NLD,NL,76,Marten,,de Roon,3172,29/03/1991,185,MD,MID,Midfielder,Netherlands,528,NLD,NL,625,right,M. de Roon,null
England,0,XEN,,75,Alex,,Iwobi,1609,03/05/1996,180,MD,MID,Midfielder,Nigeria,566,NGA,NG,230020,right,A. Iwobi,16823
Italy,380,ITA,IT,77,Lorenzo,,Pellegrini,3158,19/06/1996,186,MD,MID,Midfielder,Italy,380,ITA,IT,328333,right,L. Pellegrini,3757
Algeria,12,DZA,DZ,75,Mohamed Salim,,Fares,3194,15/02/1996,183,FW,FWD,Forward,France,250,FRA,FR,328336,left,M. Fares,null
Brazil,76,BRA,BR,73,Ot\u00e1vio Henrique,,Passos Santos,3772,04/05/1994,176,MD,MID,Midfielder,Brazil,76,BRA,BR,295569,right,Ot\u00e1vio,null
Argentina,32,ARG,AR,72,Hern\u00e1n Dar\u00edo,,Toledo,714,17/01/1996,180,FW,FWD,Forward,Argentina,32,ARG,AR,393881,right,H. Toledo,null
Japan,392,JPN,JP,78,Maya,,Yoshida,1619,24/08/1988,189,DF,DEF,Defender,Japan,392,JPN,JP,703,right,M. Yoshida,12913
Congo,178,COG,CG,78,Bryan,,Passi,3787,05/08/1997,189,DF,DEF,Defender,France,250,FRA,FR,426692,right,B. Passi,null
C\u00f4te d'Ivoire,384,CIV,CI,73,Hamza,,Mendyl,2449,21/10/1997,179,DF,DEF,Defender,Morocco,504,MAR,MA,426702,left,H. Mendyl,16216
France,250,FRA,FR,70,Anthony,,Caci,3779,01/07/1997,184,MD,MID,Midfielder,France,250,FRA,FR,426714,right,A. Caci,null
Spain,724,ESP,ES,77,Miguel \u00c1ngel,,Guerrero Mart\u00edn,712,12/07/1990,182,FW,FWD,Forward,Spain,724,ESP,ES,5481,right,Guerrero,null
Slovakia,703,SVK,SK,75,R\u00f3bert,,Maz\u00e1\u0148,692,09/02/1994,180,DF,DEF,Defender,Slovakia,703,SVK,SK,786,left,R. Maz\u00e1\u0148,14496
France,250,FRA,FR,71,Martin,,Terrier,3779,04/03/1997,183,FW,FWD,Forward,France,250,FRA,FR,394006,right,M. Terrier,4425
France,250,FRA,FR,75,Th\u00e9odore,,Efouba Ayissi,,05/05/1997,184,DF,DEF,Defender,Cameroon,120,CMR,CM,394008,right,T. Efouba Ayissi,null
Nigeria,566,NGA,NG,72,Tyronne,,Ebuehi,9607,16/12/1995,187,DF,DEF,Defender,Netherlands,528,NLD,NL,332821,right,T. Ebuehi,16823
France,250,FRA,FR,65,Patrick,,Burner,3775,11/04/1996,170,DF,DEF,Defender,Martinique,474,MTQ,MQ,328488,right,P. Burner,null
France,250,FRA,FR,64,Samuel,,Grandsir,3795,14/08/1996,168,FW,FWD,Forward,France,250,FRA,FR,295761,right,S. Grandsir,4425
Spain,724,ESP,ES,0,V\u00edctor,,L\u00f3pez Ib\u00e1\u00f1ez,696,12/05/1997,0,DF,DEF,Defender,Spain,724,ESP,ES,404285,right,V\u00edctor L\u00f3pez,null
C\u00f4te d'Ivoire,384,CIV,CI,65,Jean Micha\u00ebl,,Seri,3775,19/07/1991,168,MD,MID,Midfielder,C\u00f4te d'Ivoire,384,CIV,CI,131959,right,J. Seri,null
Spain,724,ESP,ES,77,Gerard,,Gumbau Garriga,712,18/12/1994,187,MD,MID,Midfielder,Spain,724,ESP,ES,263091,left,Gumbau,null
Spain,724,ESP,ES,68,Pablo,,Maffeo Becerra,756,12/07/1997,173,DF,DEF,Defender,Spain,724,ESP,ES,263105,right,Pablo Maffeo,1604
Poland,616,POL,PL,78,Artur,,J\u0119drzejczyk,13505,04/11/1987,189,DF,DEF,Defender,Poland,616,POL,PL,99381,right,A. J\u0119drzejczyk,13869
Poland,616,POL,PL,75,Maciej,,Rybus,13887,19/08/1989,173,DF,DEF,Defender,Poland,616,POL,PL,99391,left,M. Rybus,13869
Poland,616,POL,PL,82,Marcin,,Kami\u0144ski,2445,15/01/1992,192,DF,DEF,Defender,Poland,616,POL,PL,99410,left,M. Kami\u0144ski,null
Austria,40,AUT,AT,76,Karim,,Onisiwo,2460,17/03/1992,188,MD,MID,Midfielder,Austria,40,AUT,AT,66654,right,K. Onisiwo,null
Russia,643,RUS,RU,81,Artjoms,,Rud\u0146evs,,13/01/1988,183,FW,FWD,Forward,Latvia,428,LVA,LV,99425,left,A. Rud\u0146evs,null
Poland,616,POL,PL,83,\u0141ukasz,,Skorupski,3158,05/05/1991,190,GK,GKP,Goalkeeper,Poland,616,POL,PL,99430,right,\u0141. Skorupski,null
Poland,616,POL,PL,76,Pawe\u0142,,Olkowski,2463,13/02/1990,184,DF,DEF,Defender,Poland,616,POL,PL,99437,right,P. Olkowski,null
Poland,616,POL,PL,78,Arkadiusz,,Milik,3187,28/02/1994,186,FW,FWD,Forward,Poland,616,POL,PL,99452,left,A. Milik,13869
Burkina Faso,854,BFA,BF,72,Pr\u00e9juce Niguimb\u00e9,,Nakoulma,,21/04/1987,178,FW,FWD,Forward,Burkina Faso,854,BFA,BF,99453,right,P. Nakoulma,null
Italy,380,ITA,IT,76,Gianluca,,Pegolo,3315,25/03/1981,183,GK,GKP,Goalkeeper,Italy,380,ITA,IT,20771,left,G. Pegolo,null
Poland,616,POL,PL,72,Mariusz,,St\u0119pi\u0144ski,3165,12/05/1995,183,FW,FWD,Forward,Poland,616,POL,PL,99511,right,M. St\u0119pi\u0144ski,null
Croatia,191,HRV,HR,89,Duje,,\u0106aleta-Car,3771,17/09/1996,192,DF,DEF,Defender,Croatia,191,HRV,HR,230626,right,D. \u0106aleta-Car,9598
Lithuania,440,LTU,LT,92,Edvinas,,Gertmonas,3774,01/06/1996,192,GK,GKP,Goalkeeper,Lithuania,440,LTU,LT,240507,right,E. Gertmonas,13503
Croatia,191,HRV,HR,74,Hrvoje,,Mili\u0107,,10/05/1989,183,DF,DEF,Defender,Croatia,191,HRV,HR,69874,left,H. Mili\u0107,null
Germany,276,DEU,DE,70,Jonathan,,Klinsmann,2457,08/04/1997,194,GK,GKP,Goalkeeper,United States,840,USA,US,492782,right,J. Klinsmann,8140
Italy,380,ITA,IT,80,Francesco,,Vicari,3204,03/08/1994,190,DF,DEF,Defender,Italy,380,ITA,IT,263432,right,F. Vicari,null
Italy,380,ITA,IT,70,Alex,,Ferrari,3194,01/07/1994,183,DF,DEF,Defender,Italy,380,ITA,IT,263433,right,A. Ferrari,null
Croatia,191,HRV,HR,88,Emil,,Berggreen,2460,10/05/1993,194,FW,FWD,Forward,Denmark,208,DNK,DK,230687,right,E. Berggreen,null
Poland,616,POL,PL,88,Igor,,Lewczuk,3772,30/05/1985,189,DF,DEF,Defender,Poland,616,POL,PL,99633,right,I. Lewczuk,null
Mali,466,MLI,ML,76,Cheick,,Keita,3166,16/04/1996,182,DF,DEF,Defender,France,250,FRA,FR,361779,left,C. Keita,19001
Spain,724,ESP,ES,69,Carlos,,Calder\u00f3n L\u00f3pez,698,14/04/1995,182,MD,MID,Midfielder,Spain,724,ESP,ES,329026,right,Carlos Calder\u00f3n,null
Poland,616,POL,PL,80,Thiago,,Rangel Cionek,3204,21/04/1986,183,DF,DEF,Defender,Brazil,76,BRA,BR,99661,right,T. Cionek,13869
Uruguay,858,URY,UY,73,Rodrigo,,Bentancur Colm\u00e1n,3159,25/06/1997,185,MD,MID,Midfielder,Uruguay,858,URY,UY,361807,right,R. Bentancur,15670
Brazil,76,BRA,BR,76,Bernardo,,Fernandes da Silva Junior,2975,14/05/1995,186,DF,DEF,Defender,Brazil,76,BRA,BR,296341,left,Bernardo,null
Poland,616,POL,PL,81,Rafa\u0142,,Gikiewicz,2453,26/10/1987,190,GK,GKP,Goalkeeper,Poland,616,POL,PL,99749,right,R. Gikiewicz,null
Italy,380,ITA,IT,85,Alessandro,,Deiola,3173,01/08/1995,190,MD,MID,Midfielder,Italy,380,ITA,IT,263591,right,A. Deiola,null
Afghanistan,4,AFG,AF,73,Nadiem,,Amiri,2482,27/10/1996,180,MD,MID,Midfielder,Germany,276,DEU,DE,263614,right,N. Amiri,3155
Spain,724,ESP,ES,78,Yeray,,\u00c1lvarez L\u00f3pez,678,24/01/1995,183,DF,DEF,Defender,Spain,724,ESP,ES,230857,right,Yeray,null
Spain,724,ESP,ES,73,\u00cd\u00f1igo,,Lekue Mart\u00ednez,678,04/05/1993,180,DF,DEF,Defender,Spain,724,ESP,ES,230862,right,Lekue,null
Egypt,818,EGY,EG,84,Ali,,Gabr,27533,10/01/1989,193,DF,DEF,Defender,Egypt,818,EGY,EG,198120,right,Ali Gabr,16129
Spain,724,ESP,ES,70,Pere,,Pons Riera,756,20/02/1993,177,MD,MID,Midfielder,Spain,724,ESP,ES,230895,right,Pere Pons,null
Italy,380,ITA,IT,65,Federico Nicol\u00e1s,,Cartabia,677,20/01/1993,169,MD,MID,Midfielder,Argentina,32,ARG,AR,230897,left,Fede Cartabia,null
Poland,616,POL,PL,77,Bartosz,,Bereszy\u0144ski,3164,12/07/1992,183,DF,DEF,Defender,Poland,616,POL,PL,99833,right,B. Bereszy\u0144ski,13869
Iceland,352,ISL,IS,81,\u00d3lafur Ingi,,Sk\u00falason,7727,01/04/1983,183,MD,MID,Midfielder,Iceland,352,ISL,IS,38241,right,\u00d3. Sk\u00falason,7839
